,Metabolite,Carbon source,Rate [mmol/gDW/h],Species,Dataset,Std. Err [mmol/gDW/h],Rate [mmol C/gDW/h],Rate [g/gDW/h]
0,"1,3-diaminopropane",Galactose,,E. coli,SINTEF-23,,,
1,"1,3-diaminopropane",L-malate,,E. coli,SINTEF-23,,,
2,"1,3-diaminopropane",L-alanine,,E. coli,SINTEF-23,,,
3,"2,5-dihydroxybenzoate",Galactose,,E. coli,SINTEF-23,,,
4,"2,5-dihydroxybenzoate",L-malate,,E. coli,SINTEF-23,,,
5,"2,5-dihydroxybenzoate",L-alanine,,E. coli,SINTEF-23,,,
6,2-aminoisobutyrate,Galactose,,E. coli,SINTEF-23,,,
7,2-aminoisobutyrate,L-malate,,E. coli,SINTEF-23,,,
8,2-aminoisobutyrate,L-alanine,,E. coli,SINTEF-23,,,
9,2-hydroxybutyrate,Galactose,,E. coli,SINTEF-23,,,
10,2-hydroxybutyrate,L-malate,,E. coli,SINTEF-23,,,
11,2-hydroxybutyrate,L-alanine,,E. coli,SINTEF-23,,,
12,2-hydroxyglutaric acid,Galactose,,E. coli,SINTEF-23,,,
13,2-hydroxyglutaric acid,L-malate,,E. coli,SINTEF-23,,,
14,2-hydroxyglutaric acid,L-alanine,,E. coli,SINTEF-23,,,
15,2-phosphoglycerate,Glucose,0.0003232301996616,E. coli,Paczia-13,1.5433750699483736e-05,0.0009696905989848,5.916192921457569e-05
18,3-(4-hydroxyphenyl)pyruvate,Galactose,,E. coli,SINTEF-23,,,
19,3-(4-hydroxyphenyl)pyruvate,L-malate,,E. coli,SINTEF-23,,,
20,3-(4-hydroxyphenyl)pyruvate,L-alanine,,E. coli,SINTEF-23,,,
21,3-hydroxyanthranilate,Galactose,,E. coli,SINTEF-23,,,
22,3-hydroxyanthranilate,L-malate,,E. coli,SINTEF-23,,,
23,3-hydroxyanthranilate,L-alanine,,E. coli,SINTEF-23,,,
24,3-hydroxybutyrate,Galactose,,E. coli,SINTEF-23,,,
25,3-hydroxybutyrate,L-malate,,E. coli,SINTEF-23,,,
26,3-hydroxybutyrate,L-alanine,,E. coli,SINTEF-23,,,
27,3-hydroxyglutaric acid,Galactose,,E. coli,SINTEF-23,,,
28,3-hydroxyglutaric acid,L-malate,,E. coli,SINTEF-23,,,
29,3-hydroxyglutaric acid,L-alanine,,E. coli,SINTEF-23,,,
30,3-hydroxyphenylacetate,Galactose,,E. coli,SINTEF-23,,,
31,3-hydroxyphenylacetate,L-malate,,E. coli,SINTEF-23,,,
32,3-hydroxyphenylacetate,L-alanine,,E. coli,SINTEF-23,,,
33,3-phosphoglycerate,Glucose,0.0003232301996616,E. coli,Paczia-13,1.5433750699483736e-05,0.0009696905989848,5.916192921457569e-05
36,4-acetamidobutanoate,Galactose,,E. coli,SINTEF-23,,,
37,4-acetamidobutanoate,L-malate,,E. coli,SINTEF-23,,,
38,4-acetamidobutanoate,L-alanine,,E. coli,SINTEF-23,,,
39,4-imidazoleacetate,Galactose,,E. coli,SINTEF-23,,,
40,4-imidazoleacetate,L-malate,,E. coli,SINTEF-23,,,
41,4-imidazoleacetate,L-alanine,,E. coli,SINTEF-23,,,
42,Acetate,Galactose,0.2037245636129564,E. coli,SINTEF-23,0.1067708730988282,0.4074491272259128,0.012028717208454671
43,Acetate,L-malate,0.6140630198971179,E. coli,SINTEF-23,0.2666269001649362,1.2281260397942357,0.03625674922806583
44,Acetate,L-alanine,2.114485185426341,E. coli,SINTEF-23,0.4731117577039285,4.228970370852682,0.12484770557801661
45,Acetate,Glucose,1.544754107109071,E. coli,Paczia-13,0.1880194933834042,3.089508214218142,0.09120849239523013
48,Adenosine,Galactose,,E. coli,SINTEF-23,,,
49,Adenosine,L-malate,,E. coli,SINTEF-23,,,
50,Adenosine,L-alanine,,E. coli,SINTEF-23,,,
51,"Adenosine 3',5'-cyclic phosphate",Galactose,,E. coli,SINTEF-23,,,
52,"Adenosine 3',5'-cyclic phosphate",L-malate,,E. coli,SINTEF-23,,,
53,"Adenosine 3',5'-cyclic phosphate",L-alanine,,E. coli,SINTEF-23,,,
54,Adipate,Galactose,,E. coli,SINTEF-23,,,
55,Adipate,L-malate,,E. coli,SINTEF-23,,,
56,Adipate,L-alanine,,E. coli,SINTEF-23,,,
57,Aicar,Galactose,,E. coli,SINTEF-23,,,
58,Aicar,L-malate,,E. coli,SINTEF-23,,,
59,Aicar,L-alanine,,E. coli,SINTEF-23,,,
60,Alanine,Galactose,-0.0005832213060638,E. coli,SINTEF-23,0.0001477202193286,-0.0017496639181914001,-5.196104080097723e-05
61,Alanine,L-malate,-0.0024235603365261,E. coli,SINTEF-23,0.0002999839734221,-0.007270681009578299,-0.00021592269730298042
62,Alanine,L-alanine,-17.25209652088157,E. coli,SINTEF-23,0.6062022748175045,-51.75628956264471,-1.5370441407122755
63,Alanine,Glucose,9.975274134111496e-05,E. coli,Paczia-13,1.1566108023206015e-05,0.0002992582240233449,8.887288939797398e-06
67,Allantoin,Galactose,,E. coli,SINTEF-23,,,
68,Allantoin,L-malate,,E. coli,SINTEF-23,,,
69,Allantoin,L-alanine,,E. coli,SINTEF-23,,,
70,Alpha-aminoadipate,Galactose,2.8487276957775643e-05,E. coli,SINTEF-23,1.6495722382413477e-05,,4.590895605407291e-06
71,Alpha-aminoadipate,L-malate,4.220041571529238e-05,E. coli,SINTEF-23,4.062508752669296e-05,,6.800850195013659e-06
72,Alpha-aminoadipate,L-alanine,6.407048415693967e-05,E. coli,SINTEF-23,2.352562132024874e-05,,1.032534294479577e-05
73,Alpha-aminobutyrate,Galactose,,E. coli,SINTEF-23,,,
74,Alpha-aminobutyrate,L-malate,,E. coli,SINTEF-23,,,
75,Alpha-aminobutyrate,L-alanine,0.187598139539883,E. coli,SINTEF-23,0.0204495612209364,,0.019155646028417454
76,Alpha-glucose (cl adduct),Galactose,,E. coli,SINTEF-23,,,
77,Alpha-glucose (cl adduct),L-malate,,E. coli,SINTEF-23,,,
78,Alpha-glucose (cl adduct),L-alanine,,E. coli,SINTEF-23,,,
79,Alpha-ketoglutarate,Glucose,0.0041229772095017,E. coli,Paczia-13,0.0014549530569801,0.0206148860475085,0.0005940478742734984
82,Anthranilate,Galactose,,E. coli,SINTEF-23,,,
