,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
0,L-malate,Stationary,Alanine,358.0,0.0,0.0,1.0,15,358.0,358.0,358.0,358.0,358.0,358.0
1,L-malate,Exponential,Alanine,1197.9,825.7523757037847,421.302232501931,5.0,"18,16,10,13,14",349.1666666666667,2550.0,372.14762429621544,240.52391744077343,2023.6523757037849,2800.0
2,L-malate,Stationary,Alpha-aminoadipate,,,,,,,,,,,
3,L-malate,Exponential,Alpha-aminoadipate,,,,,,,,,,,
4,L-malate,Stationary,Asparagine,103.0,0.0,0.0,1.0,35,103.0,103.0,103.0,103.0,103.0,103.0
5,L-malate,Exponential,Asparagine,447.5333333333333,314.725535684313,160.5742529001597,5.0,"38,37,33,31,34",105.25,970.0,132.8077976490203,81.47672660141086,762.2588690176462,1550.0
6,L-malate,Stationary,Aspartate,337.0,0.0,0.0,1.0,45,337.0,337.0,337.0,337.0,337.0,337.0
7,L-malate,Exponential,Aspartate,4250.639999999999,3617.6811631306687,1845.7556954748309,5.0,"46,42,40,39,43",164.86666666666667,9300.0,632.9588368693308,149.98041254490127,7868.321163130668,16500.0
8,L-malate,Stationary,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
9,L-malate,Exponential,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
10,L-malate,Stationary,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
11,L-malate,Exponential,Cis-aconitate,21.349999999999998,26.068000000000005,13.300000000000002,3.0,"49,48,50",8.049999999999999,47.95,-4.718000000000007,13.8,47.418000000000006,174.0
12,L-malate,Stationary,Creatine,,,,,,,,,,,
13,L-malate,Exponential,Creatine,,,,,,,,,,,
14,L-malate,Stationary,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
15,L-malate,Exponential,Deoxycarnitine (deoxy-c0),,,,,,,,,,,
16,L-malate,Stationary,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
17,L-malate,Exponential,Gamma-aminobutyrate,43.6,0.0,0.0,1.0,86,43.6,43.6,43.6,43.6,43.6,43.6
18,L-malate,Stationary,Glutamate,4270.0,0.0,0.0,1.0,101,4270.0,4270.0,4270.0,4270.0,4270.0,4270.0
19,L-malate,Exponential,Glutamate,58850.666666666664,55639.652895900304,28387.5780081124,5.0,"94,100,98,96,95",1961.6666666666667,149000.0,3211.01377076636,1825.8345971428937,114490.31956256696,168000.0
20,L-malate,Stationary,Glutamine,494.0,0.0,0.0,1.0,108,494.0,494.0,494.0,494.0,494.0,494.0
21,L-malate,Exponential,Glutamine,2556.3666666666663,1763.38407256855,899.6857513104846,5.0,"103,105,107,110,106",383.5,4950.0,792.9825940981164,325.1179856462626,4319.750739235216,5630.0
22,L-malate,Stationary,Glutarate,,,,,,,,,,,
23,L-malate,Exponential,Glutarate,,,,,,,,,,,
24,L-malate,Stationary,Glutarylcarnitine (c5-dc),,,,,,,,,,,
25,L-malate,Exponential,Glutarylcarnitine (c5-dc),,,,,,,,,,,
26,L-malate,Stationary,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
27,L-malate,Exponential,Isocitrate,14.292777777777777,21.971615244870872,11.210007777995344,3.0,"129,128,130",2.433333333333333,36.7,-7.678837467093095,4.68e-06,36.26439302264865,4.688263787778018
28,L-malate,Stationary,Isoleucine,33.1,0.0,0.0,1.0,137,33.1,33.1,33.1,33.1,33.1,33.1
29,L-malate,Exponential,Isoleucine,125.81000000000002,70.35794078522892,35.8969085638923,5.0,"136,135,134,133,131",21.083333333333332,219.0,55.4520592147711,-1.972608799338758,196.16794078522895,548.0
30,L-malate,Stationary,Lactate,,,,,,,,,,,
31,L-malate,Exponential,Lactate,,,,,,,,,,,
32,L-malate,Stationary,Leucine,120.0,0.0,0.0,1.0,148,120.0,120.0,120.0,120.0,120.0,120.0
33,L-malate,Exponential,Leucine,162.55,43.727344249463755,22.309869515032528,5.0,"141,142,145,146,147",85.08333333333333,219.0,118.82265575053626,70.38985136035646,206.27734424946377,548.0
